,Zinb_1,Zinb_2,Zinb_3,Zinb_4,Zinb_5,Zinb_6,Zinb_7,Zinb_8,Zinb_9,Zinb_10,Zinb_11,Zinb_12,Zinb_13,Zinb_14,Zinb_15,Zinb_16,Zinb_17,Zinb_18,Zinb_19,Zinb_20,Zinb_21,Zinb_22,Zinb_23,Zinb_24,Zinb_25,Zinb_26,Zinb_27,Zinb_28,Zinb_29,Zinb_30,Zinb_31,Zinb_32
mouse1_lib1.final_cell_0001,0.9969584,0.0,0.0,0.0,1.6859231,0.0,1.6055601,0.0,0.0,2.039639,0.0,0.0,2.746021,0.0,0.80916774,1.323784,0.0,0.0,0.0,0.0,2.7958403,0.7197955,0.0,0.34258837,0.0,0.5703538,0.0,0.88696826,0.12703623,0.0,1.7509812,0.0
mouse1_lib1.final_cell_0003,0.7815472,0.0,0.0,0.0,1.6473768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7252147,0.0,2.0158987,1.8396834,0.0,3.9503896,1.1039681,3.5677557,0.0,0.0,0.0,3.6521454,0.0,0.0,0.0,0.8932069,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0004,0.0,0.0,0.0,0.0,3.4467824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2954607,0.0,0.0,3.9790921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6486526,0.019702306,12.062133,0.0,0.0,0.0,3.214648,4.1371765
mouse1_lib1.final_cell_0005,0.71860135,0.0,0.0,0.0,1.5683584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4520981,0.0,1.9046744,1.8260139,0.0,3.5363934,1.2303553,3.3992743,0.0,0.0,0.0,3.134437,0.0,0.0,0.0,0.8805564,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0006,1.0702937,0.0,0.0,0.0,1.8049916,0.0,1.7720623,0.0,0.0,1.522682,0.0,0.0,2.3128424,0.0,0.73061574,1.0691682,0.05182095,0.0,0.0,0.0,2.7282848,1.0874352,0.0,0.5941231,0.0,1.1196464,0.0,0.98320264,0.50242656,0.0,1.5500785,0.0
mouse1_lib1.final_cell_0007,1.2471064,0.0,0.0,0.0,1.5985811,0.0,1.5601629,0.0,0.0,2.3536096,0.0,0.0,3.2721658,0.0,1.0831968,1.5688676,0.0,0.0,0.0,0.0,3.2027903,0.57358104,0.0,0.41029796,0.0,0.64119685,0.0,1.3531877,0.0,0.0,1.8312134,0.0
mouse1_lib1.final_cell_0008,1.0029565,0.0,0.0,0.0,2.104603,0.0,1.5918913,0.0,0.0,2.6687717,0.0,0.0,3.3804545,0.0,0.75286376,1.7699056,0.0,0.0,0.0,0.0,3.3829346,0.92526937,0.0,0.6074974,0.0,0.00344624,0.0,1.0725915,0.0,0.0,2.3586028,0.0
mouse1_lib1.final_cell_0009,1.468023,0.0,0.0,0.0,1.7991184,0.0,1.6147702,0.0,0.0,2.061851,0.0,0.0,3.0269966,0.0,0.62914747,1.3975948,0.0,0.0,0.0,0.0,2.9336412,0.88215,0.0,0.3664019,0.0,0.22889183,0.0,0.8753072,0.0,0.0,2.1740296,0.0
mouse1_lib1.final_cell_0010,0.0,0.0,0.0,7.504979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6988845,0.0,0.0,0.0,0.0,0.0,3.1397727,2.402371,1.0830353,3.1389332,8.979478,2.956207,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0011,0.0,0.0,0.0,7.2721753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.238287,0.0,0.0,0.0,0.0,0.0,3.1348333,2.177668,0.4986463,3.3135881,9.24682,3.042398,0.0,0.0,0.0,0.0
